ESP32 Wrover Module                              esp32:esp32:esp32wrover                         
ESP32C3 Dev Module                               esp32:esp32:esp32c3                             
ESP32C3 Dev Module                               espressif:esp32:esp32c3                         
ESP32S2 Dev Module                               esp32:esp32:esp32s2                             
ESP32S2 Dev Module                               espressif:esp32:esp32s2                         
ESP32S2 Native USB                               espressif:esp32:esp32s2usb                      
ESP32S2 Native USB                               esp32:esp32:esp32s2usb                          
ESP32vn IoT Uno                                  espressif:esp32:esp32vn-iot-uno                 
ESP32vn IoT Uno                                  esp32:esp32:esp32vn-iot-uno                     
ESPea32                                          esp32:esp32:espea32                             
ESPea32                                          espressif:esp32:espea32                         
ESPectro32                                       espressif:esp32:espectro32                      
ESPectro32                                       esp32:esp32:espectro32                          
ET-Board                                         esp32:esp32:ET-Board                            
ET-Board                                         espressif:esp32:ET-Board                        
Electronic SweetPeas - ESP320                    espressif:esp32:esp320                          
Electronic SweetPeas - ESP320                    esp32:esp32:esp320                              
FireBeetle-ESP32                                 espressif:esp32:firebeetle32                    
FireBeetle-ESP32                                 esp32:esp32:firebeetle32                        
Franzininho WiFi                                 esp32:esp32:franzininho_wifi_esp32s2            
Franzininho WiFi                                 espressif:esp32:franzininho_wifi_esp32s2        
Franzininho WiFi MSC                             esp32:esp32:franzininho_wifi_msc_esp32s2        
Franzininho WiFi MSC                             espressif:esp32:franzininho_wifi_msc_esp32s2    
Frog Board ESP32                                 esp32:esp32:frogboard                           
Frog Board ESP32                                 espressif:esp32:frogboard                       
HONEYLemon                                       esp32:esp32:honeylemon                          
HONEYLemon                                       espressif:esp32:honeylemon                      
Heltec WiFi Kit 32                               espressif:esp32:heltec_wifi_kit_32              
Heltec WiFi Kit 32                               esp32:esp32:heltec_wifi_kit_32                  
Heltec WiFi LoRa 32                              esp32:esp32:heltec_wifi_lora_32                 
Heltec WiFi LoRa 32                              espressif:esp32:heltec_wifi_lora_32             
Heltec WiFi LoRa 32(V2)                          esp32:esp32:heltec_wifi_lora_32_V2              
Heltec WiFi LoRa 32(V2)                          espressif:esp32:heltec_wifi_lora_32_V2          
Heltec Wireless Stick                            esp32:esp32:heltec_wireless_stick               
Heltec Wireless Stick                            espressif:esp32:heltec_wireless_stick           
Heltec Wireless Stick Lite                       espressif:esp32:heltec_wireless_stick_lite      
Heltec Wireless Stick Lite                       esp32:esp32:heltec_wireless_stick_lite          
Hornbill ESP32 Dev                               esp32:esp32:hornbill32dev                       
Hornbill ESP32 Dev                               espressif:esp32:hornbill32dev                   
Hornbill ESP32 Minima                            espressif:esp32:hornbill32minima                
Hornbill ESP32 Minima                            esp32:esp32:hornbill32minima                    
IMBRIOS LOGSENS_V1P1                             esp32:esp32:imbrios-logsens-v1p1                
IMBRIOS LOGSENS_V1P1                             espressif:esp32:imbrios-logsens-v1p1            
INEX OpenKB                                      esp32:esp32:OpenKB                              
INEX OpenKB                                      espressif:esp32:OpenKB                          
Inkplate 10 (ESP32)                              Inkplate_Boards:esp32:Inkplate10                
Inkplate 5 (ESP32)                               Inkplate_Boards:esp32:Inkplate5                 
Inkplate 6 (ESP32)                               Inkplate_Boards:esp32:Inkplate6                 
Inkplate 6COLOR (ESP32)                          Inkplate_Boards:esp32:Inkplate6COLOR            
Inkplate 6PLUS (ESP32)                           Inkplate_Boards:esp32:Inkplate6plus             
IntoRobot Fig                                    espressif:esp32:intorobot-fig                   
IntoRobot Fig                                    esp32:esp32:intorobot-fig                       
KB32-FT                                          espressif:esp32:kb32                            
KB32-FT                                          esp32:esp32:kb32                                
KITS ESP32 EDU                                   esp32:esp32:kits-edu                            
KITS ESP32 EDU                                   espressif:esp32:kits-edu                        
LOLIN D32                                        espressif:esp32:d32                             
LOLIN D32                                        esp32:esp32:d32                                 
LOLIN D32 PRO                                    espressif:esp32:d32_pro                         
LOLIN D32 PRO                                    esp32:esp32:d32_pro                             
Labplus mPython                                  esp32:esp32:mPython                             
Labplus mPython                                  espressif:esp32:mPython                         
LilyPad Arduino                                  arduino:avr:lilypad                             
LilyPad Arduino USB                              arduino:avr:LilyPadUSB                          
Linino One                                       arduino:avr:one                                 
LoPy                                             espressif:esp32:lopy                            
LoPy                                             esp32:esp32:lopy                                
LoPy4                                            espressif:esp32:lopy4                           
LoPy4                                            esp32:esp32:lopy4                               
M5Stack-ATOM                                     espressif:esp32:m5stack-atom                    
M5Stack-ATOM                                     esp32:esp32:m5stack-atom                        
